순위,아티스트,곡명,앨범
1,신호등,이무진,신호등
2,STAY,The Kid LAROI,Stay
3,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
4,Next Level,aespa,Next Level
5,낙하 (with 아이유),AKMU (악뮤),NEXT EPISODE
6,Weekend,태연 (TAEYEON),Weekend
7,Queendom,Red Velvet (레드벨벳),Queendom - The 6th Mini Album
8,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT
9,Permission to Dance,방탄소년단,Butter / Permission to Dance
10,DUMB DUMB,전소미,DUMB DUMB
11,좋아좋아,조정석,슬기로운 의사생활 시즌2 OST Part 5
12,Butter,방탄소년단,Butter
13,헤픈 우연,헤이즈 (Heize),HAPPEN
14,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
15,시간을 거슬러 (낮에 뜨는 달 X 케이윌),케이윌,시간을 거슬러 (낮에 뜨는 달 X 케이윌)
16,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1
17,Bad Habits,Ed Sheeran,Visiting Hours
18,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
19,Dynamite,방탄소년단,Dynamite (DayTime Version)
20,비가 오는 날엔 (2021),헤이즈 (Heize),비가 오는 날엔 (2021)
21,롤린 (Rollin'),브레이브걸스,Rollin'
22,라일락,아이유,IU 5th Album 'LILAC'
23,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
24,Celebrity,아이유,IU 5th Album 'LILAC'
25,하루만 더,빅마마,하루만 더
26,고백,멜로망스,세 번째 '고백'
27,치맛바람 (Chi Mat Ba Ram),브레이브걸스,Summer Queen
28,Alcohol-Free,TWICE (트와이스),Taste of Love
29,ASAP,STAYC(스테이씨),STAYDOM
30,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album
31,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix
32,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2
33,운전만해 (We Ride),브레이브걸스,We Ride
34,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
35,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집
36,내 손을 잡아,아이유,최고의 사랑 OST Part.4
37,여전히 아름다운지,세븐틴,슬기로운 의사생활 시즌2 OST Part 8
38,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
39,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
40,Timeless,SG 워너비,Sg Wanna Be+
41,멜로디,ASH ISLAND,멜로디
42,상상더하기,라붐 (LABOUM),Fresh Adventure
43,Off My Face,Justin Bieber,Justice
44,Lovesick Girls,BLACKPINK,THE ALBUM
45,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
46,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
47,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
48,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
49,아로하,조정석,슬기로운 의사생활 OST Part 3
50,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
51,Blueming,아이유,Love poem
52,잠이 오질 않네요,장범준,잠이 오질 않네요
53,어푸 (Ah puh),아이유,IU 5th Album 'LILAC'
54,봄날,방탄소년단,YOU NEVER WALK ALONE
55,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",MSG워너비 TOP 8 경연곡
56,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
57,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
58,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
59,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
60,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
61,2002,Anne-Marie,Speak Your Mind (Deluxe)
62,Life Goes On,방탄소년단,BE
63,고백,10CM,두 번째 '고백'
64,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
65,12:45 (Stripped),Etham,12:45 (Stripped)
66,가까운 듯 먼 그대여,카더가든,가까운 듯 먼 그대여
67,이젠 잊기로 해요 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special
68,METEOR,창모 (CHANGMO),Boyhood
69,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
70,라라라,SG 워너비,My Friend
71,오래된 노래,스탠딩 에그,오래된 노래
72,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고
73,슈퍼스타,미도와 파라솔,슬기로운 의사생활 시즌2 OST Part 6
74,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
75,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
76,담아 갈게,이무진,담아 갈게
77,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),쇼미더머니 9 Episode 1
78,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),어떻게 지내
79,허리춤,오반 (OVAN),허리춤
80,사실 나는 (Feat.전건호),경서예지,사실 나는
81,Memories,Maroon 5,JORDI (Deluxe)
82,고백,장범준,첫 번째 '고백'
83,Coin,아이유,IU 5th Album 'LILAC'
84,회상,정경호,슬기로운 의사생활 시즌2 OST Part 9
85,넌 좋은 사람,SG 워너비,넌 좋은 사람
86,사진을 보다가,다비치,사진을 보다가 (REVIBE Vol.2)
87,On The Ground,로제 (ROSÉ),R
88,나는 너 좋아,장범준,슬기로운 의사생활 시즌2 OST Part 3
89,내사람,SG 워너비,The Precious History
90,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
91,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
92,제자리 걸음,V.O.S,제자리 걸음
93,How You Like That,BLACKPINK,How You Like That
94,ONLY,이하이,ONLY
95,마.피.아. In the morning,ITZY (있지),GUESS WHO
96,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
97,마음을 드려요,아이유,사랑의 불시착 OST Part 11
98,Dance Monkey,Tones And I,The Kids Are Coming
99,그대라는 사치,임영웅,사랑의 콜센타 PART62
100,벌써 일년 (Drama Ver.),미도와 파라솔,슬기로운 의사생활 시즌2 OST Special
